ts_code,name,concept,business,q_np_change
002426.SZ,胜利精密,"半导体,特斯拉,纾困概念,苹果概念,华为概念,5G概念,消费电子设备,小米概念,智能穿戴",精密结构模组的研发、设计、生产和后续改进等全流程服务,112.40%
002466.SZ,天齐锂业,"锂,特斯拉,无人机,锂电池,刀片电池,固态电池,新材料","主要从事锂系列产品的研发、生产和销售,主要产品为“锂坤达”牌工业级碳酸锂、电池级碳酸锂、无水氯化锂、氢氧化锂等四大系列、十多个品种规格的锂产品。",75.40%
002473.SZ,*ST圣莱,小家电,从事水加热生活电器核心零部件及整机的研发、生产和销售。,33.40%
002490.SZ,山东墨龙,"矿山冶金机械,海工装备,页岩气,天然气,油气设服","从事能源装备行业所需产品的研发、生产与销售,主要产品包括油气开采用管、流体及结构用管、抽油机、抽油泵、抽油杆、钻机用缸套、阀门散件及大型铸锻件等。",-48.80%
002502.SZ,*ST鼎龙,"手游概念,影视,影视概念,网络游戏,钛白粉",网络游戏、影视剧、动漫及其相关衍生产品。,-111.20%
002504.SZ,ST弘高,"装修装饰,虚拟现实,军工,创投",建筑装饰工程项目的设计服务、建筑/装饰/幕墙/机电设备/软装家具/园林景观等采购安装施工服务,42.00%
002511.SZ,中顺洁柔,"造纸,口罩,二胎概念",研发、生产、加工、销售(含网上销售):高档生活用纸系列产品、棉花柔巾、个人护理产品。,43.00%
002527.SZ,新时达,"工业机器人,工业4.0,2025规划,燃料电池,智能机器","工业自动化控制产品的研发、生产、销售,围绕智能控制、变频驱动两大方向。",171.50%
002532.SZ,天山铝业,铝,原铝、铝深加工产品及材料、预焙阳极、高纯铝、氧化铝的生产和销售。,291.70%
002570.SZ,贝因美,"乳制品,乳业,电商概念,二胎概念,网红直播",从事婴幼儿食品的研发、生产和销售等业务。,297.90%
002592.SZ,ST八菱,"免疫治疗,工业大麻,燃料电池,汽车零部件",汽车零部件制造及文化演艺业务,214.60%
002656.SZ,ST摩登,"区块链,虚拟现实,服装",高级男装服饰的研发设计、品牌推广和零售管理。,26.00%
002684.SZ,*ST猛狮,"创投,军工,新能源车,氢能源,智能电网,燃料电池,锂电池,汽车零部件",各类铅蓄电池产品的研发、生产和销售。,-32.30%
002716.SZ,*ST金贵,"黄金概念,小金属,其他稀有小金属",生产销售高纯银、电解铅、黄金、高纯铋等有价金属。,87.40%
002738.SZ,中矿资源,"氟化工,特斯拉,专业工程,稀缺资源,基本金属,锂电池,航天概念",稀有轻金属(锂、铯、铷)资源开发与利用、地质勘查技术服务与矿权投资、国际矿产品贸易和国际工程,223.30%
002759.SZ,天际股份,"氟化工,小家电,锂电池",本公司致力于将现代科学技术与传统陶瓷烹饪相结合的陶瓷烹饪家电、电热水壶的研发、生产和销售。,307.40%
002762.SZ,金发拉比,"乳业,二胎概念,医疗美容,新零售,服装,消毒剂,网红直播",婴幼儿消费品的设计研发、生产、销售,1184.10%
002765.SZ,蓝黛科技,"军工,汽车零部件,新能源车",触控显示业务和动力传动业务,208.90%
002795.SZ,永和智控,其他通用机械,"流体控制设备及器材的研发、制造和销售,产品包括各类铜制水暖阀门、管件等水暖器材,广泛应用于给排水、暖通和供气等系统。",-4.00%
002889.SZ,东方嘉盛,"特斯拉,物流,大数据,生物疫苗,冷链物流,电商概念,深圳特区",提供综合供应链管理服务。,53.90%
002900.SZ,哈三联,"医疗器械,病毒防治,医疗美容,化学制剂,消毒剂,化妆品概念","医药制造业,主要从事小容量注射剂、冻干粉针剂、固体制剂、非PVC软袋大输液、塑瓶大输液、玻瓶大输液、原料药、医疗器械及化妆品等产品的研发、生产和销售",-1957.40%
003035.SZ,南网能源,"垃圾分类,其他专业服务,风能,智能电网,光伏建筑一体化,次新股,节能环保,太阳能,新能源,碳交易","主要从事节能服务,为客户能源使用提供诊断、设计、改造、综合能源项目投资及运营维护等一站式综合节能服务",16.70%
003040.SZ,楚天龙,"数字货币,智慧政务,ETC,次新股,消费电子设备",公司是一家多领域高端智能卡及配套软件、智能终端设备、数字档案、应用平台系统及安全解决方案的提供商,45.20%
003041.SZ,真爱美家,"家纺,次新股",毛毯为主的家用纺织品研发、设计、生产与销售,29.00%
300061.SZ,旗天科技,"数字货币,大数据,创业板综,长江三角,营销服务",数字商品营销业务、银行卡增值营销业务、城际公共交通数据模型业务,47.90%
300202.SZ,*ST聚龙,"区块链,数字货币,互联金融,物联网,创业板综,专用计算机设备,云计算","第一、金融机具、电子产品销售业务:涵盖商业银行网点柜台、后台及现金处理中心、金库系统等现钞类终端处理设备,以及智能收银终端等金融电子产品;第二、金融信息化系统开发及服务运营业务:涵盖基于商业银行网点、金库业务模式的信息化服务平台,以及第三方现钞处理、金库管理一体化服务运营、供应链金融系统开发及服务等业务。",-16.50%
300248.SZ,新开普,"区块链,数字货币,生物识别,物联网,虚拟现实,边缘计算,创业板综,阿里概念,智能电网,在线教育,华为概念,蚂蚁概念,云计算,移动支付,行业应用软件","智能一卡通系统的软件及各种智能终端的研发、生产、集成、销售和服务,为客户提供身份识别、小额支付、资源管控、信息集成等多种功能为一体的智能一卡通系统整体解决方案及个性化定制服务。",-232.30%
300278.SZ,*ST华昌,"其他通用机械,特斯拉,军工,创业板综,工业4.0,智能机器,无人机","智能型自动化装备系统,包括总装自动化生产线、焊装自动化生产线、涂装自动化生产线等的研发、设计、生产和销售。",-9.50%
300312.SZ,*ST邦讯,"手游概念,物联网,智能家居,创业板综,壳资源,通信配套服务","无线网络优化系统业务,包括系统集成、设备销售和代维服务。",-2.60%
300377.SZ,赢时胜,"区块链,数字货币,互联金融,创业板综,深圳特区,人工智能,行业应用软件",为金融机构及其高端客户的资产管理业务和托管业务提供整体信息化建设解决方案的应用软件及增值服务,107.10%
300430.SZ,诚益通,"医疗器械,工业大麻,创业板综,养老概念,工业4.0,仪器仪表","面向大中型制药、生物企业,提供个性化的自动化控制系统产品及整体解决方案。",156.60%
300530.SZ,*ST达志,"充电桩,新能源车,创业板综,其他化学制品,锂电池",新型环保表面工程化学品的研发、生产及销售,-494.00%
300672.SZ,国科微,"国产芯片,半导体,物联网,北斗导航,集成电路,创业板综,超清视频",大规模集成电路的设计、研发及销售,97.80%
300697.SZ,电工合金,"高送转,铜,石墨烯,创业板综",铜及铜合金产品的研发、生产和销售,190.30%
300986.SZ,C志特,"铝,次新股","公司专注于为客户提供建筑铝模系统的研发、设计、生产、销售、租赁和相应的技术指导等综合服务,系专业从事建筑铝模系统的综合服务提供商",361.20%
600010.SH,包钢股份,"小金属,普钢,数据中心,军工,华为概念,稀土永磁","冷轧卷板、热轧卷板、无缝钢管、铁路用钢轨、大型型钢、棒材等品种的生产销售以及冶金机械、设备及配件,汽车货物运输,钢铁生产技术咨询。",334.20%
600022.SH,山东钢铁,普钢,生产、销售钢材、钢坯等钢铁产品。,6292.70%
600058.SH,五矿发展,"小金属,电商概念,贸易,新材料",主要从事冶金原材料供应业务、钢铁流通及制品业务、物流业务、招标业务和电子商务平台运营。,265.60%
600084.SH,*ST中葡,"农业种植,参股期货,乡村振兴,葡萄酒",葡萄酒生产销售、国际经济技术合作、农业综合开发等。,140.80%
600088.SH,中视传媒,"影视,长江三角,影视概念,超清视频,在线旅游,广电","影视拍摄、电视剧节目制作、销售经营,影视设备租赁,高清晰度影视技术、代理各类广告业务,影视拍摄基地开发、经营等。",57.20%
600090.SH,*ST济堂,"医药商业,医疗器械",医药流通行业,-143.50%
600091.SH,*ST明科,氯碱,"烧碱、聚氯乙烯树脂、硫酸、盐酸、苯酚、氢氟酸、无水氟化氢、氟化盐产品、液氯、电石、溶解乙炔、高压聚乙烯,高科技生物产品的开发与生产,电子产品的生产和销售,计算机的生产、研制开发,计算机软硬件及外围设备的生产销售,计算机设备的销售、仓储、租赁及其它经营业务,信息产业、网络工程及远程教育服务,环保设备生产及销售。",-6.70%
